site name,AOD Latitude,AOD Longitude,firstdate,datetime,AerosolOpticalThicknessPassedThresholdMean,AerosolModelMW,UVAerosolIndex,VISAerosolIndex,AerosolOpticalThicknessPassedThresholdStd,SolarZenithAngle,TerrainReflectivity,ViewingZenithAngle,SingleScatteringAlbedoPassedThresholdMean,SingleScatteringAlbedoPassedThresholdStd,AerosolOpticalThicknessMW0,AerosolOpticalThicknessMW1,AerosolOpticalThicknessMW2,AerosolOpticalThicknessMW3,AerosolOpticalThicknessMW4,SingleScatteringAlbedoMW0,SingleScatteringAlbedoMW1,SingleScatteringAlbedoMW2,SingleScatteringAlbedoMW3,SingleScatteringAlbedoMW4
Sabana,-18.375,-65.625,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.63,-9.11,nan,29.364,64,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,-1.0,-10.92,nan,15.754,78,66.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-03 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-03 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-04 00:00:00,2017-01-06 03:13:00,nan,nan,1.7,-8.27,nan,35.427,70,62.555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-04 00:00:00,2017-01-06 03:13:00,nan,nan,1.7,-8.27,nan,35.427,70,62.555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-05 00:00:00,2017-01-07 03:09:00,nan,nan,-2.38,-5.02,nan,23.329,55,24.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-05 00:00:00,2017-01-07 03:09:00,nan,nan,-0.3,-12.81,nan,23.286,65,24.928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-06 00:00:00,2017-01-08 03:13:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-06 00:00:00,2017-01-08 03:13:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-07 00:00:00,2017-01-10 13:32:00,nan,nan,-1.68,-15.42,nan,20.252,66,45.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-07 00:00:00,2017-01-10 13:32:00,nan,nan,-1.68,-15.42,nan,20.252,66,45.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-08 00:00:00,2017-01-10 13:33:00,nan,nan,0.08,-7.58,nan,29.501,74,35.403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-08 00:00:00,2017-01-10 13:33:00,nan,nan,0.36,-6.3,nan,30.163,46,39.951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-09 00:00:00,2017-01-11 03:12:00,nan,nan,-1.71,-10.18,nan,17.476,47,57.719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-09 00:00:00,2017-01-11 03:12:00,nan,nan,-1.32,-9.15,nan,17.438,46,57.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-10 00:00:00,2017-01-12 03:41:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-10 00:00:00,2017-01-12 03:41:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-11 00:00:00,2017-01-13 03:17:00,nan,nan,-0.85,-3.82,nan,14.73,46,66.294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-11 00:00:00,2017-01-13 03:17:00,nan,nan,-1.07,-3.04,nan,14.685,46,66.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-12 00:00:00,2017-01-14 03:09:00,nan,nan,-0.87,-13.46,nan,23.748,55,14.126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-12 00:00:00,2017-01-14 03:09:00,nan,nan,-0.87,-13.46,nan,23.748,55,14.126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-13 00:00:00,2017-01-15 03:01:00,nan,nan,0.67,-8.64,nan,33.061,76,57.031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-13 00:00:00,2017-01-15 03:01:00,nan,nan,0.07,-7.07,nan,33.78,55,59.733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-14 00:00:00,2017-01-16 03:09:00,nan,nan,-1.35,-14.13,nan,20.984,55,36.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-14 00:00:00,2017-01-16 03:09:00,nan,nan,-1.53,-16.31,nan,20.966,55,36.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-15 00:00:00,2017-01-17 02:10:00,nan,nan,-0.08,-11.34,nan,30.315,74,44.609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-15 00:00:00,2017-01-17 02:10:00,nan,nan,-0.32,-11.53,nan,30.741,67,46.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-16 00:00:00,2017-01-18 03:18:00,nan,nan,-1.12,-12.34,nan,17.929,67,52.552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-16 00:00:00,2017-01-18 03:18:00,nan,nan,-1.12,-12.34,nan,17.929,67,52.552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-17 00:00:00,2017-01-19 02:13:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-17 00:00:00,2017-01-19 02:13:00,nan,nan,4.17,-10.75,nan,27.854,67,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-18 00:00:00,2017-01-20 03:17:00,nan,nan,-0.82,-11.52,nan,13.947,74,66.296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-18 00:00:00,2017-01-20 03:17:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-19 00:00:00,2017-01-21 17:03:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-19 00:00:00,2017-01-21 17:03:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-20 00:00:00,2017-01-22 03:07:00,nan,nan,0.39,-12.82,nan,34.159,75,62.556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-20 00:00:00,2017-01-22 03:07:00,nan,nan,0.39,-12.82,nan,34.159,75,62.556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-21 00:00:00,2017-01-24 03:10:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-21 00:00:00,2017-01-24 03:10:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-22 00:00:00,2017-01-25 05:07:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-22 00:00:00,2017-01-25 05:07:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-23 00:00:00,2017-01-25 05:08:00,nan,nan,-2.03,-12.68,nan,18.845,63,45.247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-23 00:00:00,2017-01-25 05:08:00,nan,nan,-2.03,-12.68,nan,18.845,63,45.247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-24 00:00:00,2017-01-26 02:04:00,nan,nan,1.0,-10.1,nan,28.362,70,35.403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-24 00:00:00,2017-01-26 02:04:00,nan,nan,0.52,0.2,nan,29.033,44,39.952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-25 00:00:00,2017-01-27 03:06:00,nan,nan,-1.61,-1.86,nan,16.085,44,57.719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-25 00:00:00,2017-01-27 03:06:00,nan,nan,-0.46,-6.64,nan,16.092,43,57.721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-26 00:00:00,2017-01-28 03:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-26 00:00:00,2017-01-28 03:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-27 00:00:00,2017-01-29 03:07:00,nan,nan,-0.93,-2.8,nan,13.371,44,66.294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-27 00:00:00,2017-01-29 03:07:00,nan,nan,-0.81,-7.2,nan,13.383,44,66.296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-28 00:00:00,2017-01-30 04:06:00,nan,nan,0.72,-12.15,nan,22.773,60,14.126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-28 00:00:00,2017-01-30 04:06:00,nan,nan,0.72,-12.15,nan,22.773,60,14.126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-29 00:00:00,2017-01-31 03:04:00,nan,2321,0.96,-12.68,nan,32.331,68,57.031,nan,nan,1907,1597,1294,1194,1104,855,849,840,836,831
Sabana,-18.375,-65.625,2017-01-29 00:00:00,2017-01-31 03:04:00,nan,2223,0.72,-12.22,nan,33.067,60,59.734,nan,nan,1885,1761,1592,1524,1458,890,895,897,898,898
QS  and Icacos,-18.375,-65.875,2017-01-30 00:00:00,2017-02-01 03:14:00,nan,nan,-0.92,-17.06,nan,20.083,47,36.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-30 00:00:00,2017-02-01 03:14:00,nan,nan,-0.92,-17.06,nan,20.083,47,36.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-31 00:00:00,2017-02-02 02:16:00,nan,nan,1.53,-6.66,nan,29.659,70,44.609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-31 00:00:00,2017-02-02 02:16:00,nan,nan,0.44,-6.35,nan,30.102,46,46.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-01 00:00:00,2017-02-03 03:08:00,nan,nan,-0.74,-10.82,nan,17.211,58,52.551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-01 00:00:00,2017-02-03 03:08:00,nan,nan,-0.74,-10.82,nan,17.211,58,52.551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-02 00:00:00,2017-02-04 02:06:00,nan,nan,4.89,-9.6,nan,27.339,45,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-02 00:00:00,2017-02-04 02:06:00,nan,nan,4.89,-8.58,nan,27.358,45,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-03 00:00:00,2017-02-05 03:07:00,nan,nan,-0.74,-12.1,nan,13.404,74,66.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-03 00:00:00,2017-02-05 03:07:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-04 00:00:00,2017-02-06 02:08:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-04 00:00:00,2017-02-06 02:08:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-05 00:00:00,2017-02-07 03:12:00,nan,nan,1.47,-8.07,nan,33.973,67,62.554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-05 00:00:00,2017-02-07 03:12:00,nan,nan,1.15,-8.97,nan,34.021,65,62.555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-06 00:00:00,2017-02-08 04:09:00,nan,nan,-0.6,-8.25,nan,21.636,43,24.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-06 00:00:00,2017-02-08 04:09:00,nan,nan,-0.8,-8.37,nan,21.687,43,24.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-07 00:00:00,2017-02-09 02:09:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-07 00:00:00,2017-02-09 02:09:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-08 00:00:00,2017-02-10 03:33:00,nan,nan,-2.7,-13.72,nan,18.925,42,45.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-08 00:00:00,2017-02-10 03:33:00,nan,nan,-2.7,-13.72,nan,18.925,42,45.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-09 00:00:00,2017-02-11 02:15:00,nan,nan,0.24,-9.44,nan,28.547,65,35.403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-09 00:00:00,2017-02-11 02:15:00,nan,nan,0.16,-12.9,nan,29.238,39,39.951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-10 00:00:00,2017-02-12 03:12:00,nan,nan,-0.7,-15.8,nan,16.47,45,57.718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-10 00:00:00,2017-02-12 03:12:00,nan,nan,-0.7,-15.8,nan,16.47,45,57.718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-11 00:00:00,2017-02-13 02:15:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-11 00:00:00,2017-02-13 02:15:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-12 00:00:00,2017-02-14 03:16:00,nan,nan,-1.22,-10.26,nan,13.002,61,69.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-12 00:00:00,2017-02-14 03:16:00,nan,nan,-1.22,-10.26,nan,13.002,61,69.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-13 00:00:00,2017-02-15 03:09:00,nan,nan,-0.01,-10.59,nan,23.356,39,14.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-13 00:00:00,2017-02-15 03:09:00,nan,nan,-0.01,-10.59,nan,23.356,39,14.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-14 00:00:00,2017-02-16 03:13:00,nan,nan,0.47,-10.9,nan,33.711,38,59.731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-14 00:00:00,2017-02-16 03:13:00,nan,nan,0.47,-10.9,nan,33.711,38,59.731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-15 00:00:00,2017-02-17 03:15:00,nan,nan,-1.36,-9.43,nan,20.995,38,36.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-15 00:00:00,2017-02-17 03:15:00,nan,nan,-1.36,-9.43,nan,20.995,38,36.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
