site name,AOD Latitude,AOD Longitude,firstdate,datetime,AerosolOpticalThicknessPassedThresholdMean,AerosolModelMW,UVAerosolIndex,VISAerosolIndex,AerosolOpticalThicknessPassedThresholdStd,SolarZenithAngle,TerrainReflectivity,ViewingZenithAngle,SingleScatteringAlbedoPassedThresholdMean,SingleScatteringAlbedoPassedThresholdStd,AerosolOpticalThicknessMW0,AerosolOpticalThicknessMW1,AerosolOpticalThicknessMW2,AerosolOpticalThicknessMW3,AerosolOpticalThicknessMW4,SingleScatteringAlbedoMW0,SingleScatteringAlbedoMW1,SingleScatteringAlbedoMW2,SingleScatteringAlbedoMW3,SingleScatteringAlbedoMW4
Sabana,-18.375,-65.625,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.63,-9.11,nan,29.364,64,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Roosevelt Roads,-18.125,-65.625,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.24,-7.24,nan,29.383,56,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Humacao,-18.125,-65.875,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.24,-7.24,nan,29.383,56,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Culebra,-18.375,-65.375,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.63,-9.11,nan,29.364,64,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vieques,-18.125,-65.375,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.24,-7.24,nan,29.383,56,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Atlantic north of QS,-18.625,-65.875,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Atlantic north of Fajardo,-18.625,-65.625,2017-01-01 00:00:00,2017-01-06 11:02:00,nan,nan,4.63,-9.11,nan,29.364,64,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,-1.0,-10.92,nan,15.754,78,66.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Roosevelt Roads,-18.125,-65.625,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Humacao,-18.125,-65.875,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,1114,-1.01,-11.22,nan,15.843,80,66.293,nan,nan,1069,1033,998,987,977,1000,1000,1000,1000,1000
Culebra,-18.375,-65.375,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vieques,-18.125,-65.375,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Atlantic north of QS,-18.625,-65.875,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,-0.97,-10.08,nan,15.698,78,66.297,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Atlantic north of Fajardo,-18.625,-65.625,2017-01-02 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-01-03 00:00:00,2017-01-06 11:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
